oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Benefon,Vega,1999,Discontinued,145 x 56 x 23 mm (5.71 x 2.20 x 0.91 in),190.0,Mini-SIM,Monochrome graphic,,6 lines,V1,
Garmin-Asus,nuvifone M10,2010,Discontinued,,0.0,Mini-SIM,"TFT resistive touchscreen, 65K colors",3.5,"480 x 800 pixels, 5:3 ratio (~267 ppi density)",Accelerometer,Microsoft Windows Mobile 6.5.3 Professional
Gigabyte,GSmart G1305 Boston,2010,Discontinued,116 x 56.8 x 12.4 mm (4.57 x 2.24 x 0.49 in),118.0,Mini-SIM,"TFT capacitive touchscreen, 256K colors",3.2,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",Accelerometer,Android 1.6 (Donut)
Gigabyte,GSmart,,Cancelled,103 x 54 x 13.4 mm (4.06 x 2.13 x 0.53 in),0.0,Mini-SIM,"TFT capacitive touchscreen, 256K colors",2.8,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Accelerometer,Android 1.6 (Donut)
Google,Pixel 4 XL,2019,2019,160.4 x 75.1 x 8.2 mm (6.31 x 2.96 x 0.32 in),193.0,Nano-SIM card & eSIM,"P-OLED capacitive touchscreen, 16M colors",6.3,"1440 x 3040 pixels, 19:9 ratio (~537 ppi density)","Face ID, accelerometer, gyro, proximity, compass, barometer",Android 10
Google,Pixel 4,2019,2019,147.1 x 68.8 x 8.2 mm (5.79 x 2.71 x 0.32 in),162.0,Nano-SIM card & eSIM,"P-OLED capacitive touchscreen, 16M colors",5.7,"1080 x 2280 pixels, 19:9 ratio (~444 ppi density)","Face ID, accelerometer, gyro, proximity, compass, barometer",Android 10
Google,Pixel 3a XL,2019,2019,160.1 x 76.1 x 8.2 mm (6.30 x 3.00 x 0.32 in),167.0,"Nano-SIM, eSIM","OLED capacitive touchscreen, 16M colors",6.0,"1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Android 9.0 (Pie)
Google,Pixel 3a,2019,2019,151.3 x 70.1 x 8.2 mm (5.96 x 2.76 x 0.32 in),147.0,Nano-SIM,"OLED capacitive touchscreen, 16M colors",5.6,"1080 x 2220 pixels, 18.5:9 ratio (~441 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Android 9.0 (Pie)
Haier,N60,2005,Discontinued,94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in),131.0,Mini-SIM,"TFT resistive touchscreen, 256K colors",,"320 x 240 pixels, 4:3 ratio",V1,Linux
Haier,T3000,2005,Discontinued,85 x 45 x 23.5 mm (3.35 x 1.77 x 0.93 in),85.0,Mini-SIM,65K colors,,128 x 160 pixels,V1,
Haier,V280,2005,Discontinued,109 x 44 x 14.5 mm (4.29 x 1.73 x 0.57 in),80.0,Mini-SIM,65K colors,,128 x 160 pixels,V1,
Haier,V190,2004,Discontinued,106 x 46 x 18.8 mm (4.17 x 1.81 x 0.74 in),90.0,Mini-SIM,65K colors,,"128 x 128 pixels, 1:1 ratio",V1,
Haier,V100,2004,Discontinued,106 x 46 x 18.8 mm (4.17 x 1.81 x 0.74 in),90.0,Mini-SIM,65K colors,,"128 x 128 pixels, 1:1 ratio",V1,
Haier,P5,2003,Discontinued,135 x 28 x 18 mm (5.31 x 1.10 x 0.71 in),75.0,Mini-SIM,Monochrome,,"64 x 102 pixels, 16:10 ratio",V1,
Haier,Z8000,2004,Discontinued,83 x 44 x 23.8 mm (3.27 x 1.73 x 0.94 in),90.0,Mini-SIM,4096 colors,,"128 x 128 pixels, 1:1 ratio",V1,
Honor,8S 2020,2020,2020,147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),146.0,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.71,"720 x 1520 pixels, 19:9 ratio (~295 ppi density)","Accelerometer, proximity",Android 9.0 (Pie)
Honor,Play4,2020,2020,170 x 78.5 x 8.9 mm (6.69 x 3.09 x 0.35 in),213.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.81,"1080 x 2400 pixels, 20:9 ratio (~386 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Honor,Play4 Pro,2020,2020,162.7 x 75.8 x 8.9 mm (6.41 x 2.98 x 0.35 in),213.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.57,"1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Honor,X10 5G,2020,2020,163.7 x 76.5 x 8.8 mm (6.44 x 3.01 x 0.35 in),203.0,"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors",6.63,"1080 x 2400 pixels, 20:9 ratio (~397 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Honor,V6,2020,2020,245.2 x 154.9 x 7.8 mm (9.65 x 6.10 x 0.31 in),480.0,,"IPS LCD capacitive touchscreen, 16M colors",10.4,"1200 x 2000 pixels, 5:3 ratio (~224 ppi density)","Accelerometer, proximity, compass",Android 10
Honor,9A,2020,2020,159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in),185.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.3,"720 x 1600 pixels, 20:9 ratio (~278 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 10
Honor,9C,2020,2020,159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.39,"720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 10
Honor,9S,2020,2020,146.5 x 70.9 x 8.4 mm (5.77 x 2.79 x 0.33 in),144.0,"Dual SIM (Nano-SIM, dual stand-by)","Capacitive touchscreen, 16M colors",5.45,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Accelerometer, proximity",Android 10
Honor,9X Lite,2020,2020,160.4 x 76.6 x 7.8 mm (6.31 x 3.02 x 0.31 in),188.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.5,"1080 x 2340 pixels, 19.5:9 ratio (~397 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
Honor,30 Pro+,2020,2020,160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in),190.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.57,"1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
Honor,30 Pro,2020,2020,160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in),186.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.57,"1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
